FirstPeakMagnitude,RMSValue,Mean,Max,Variance,Energy,FirstPeakFrequency,TimeOfFlight,HumanLabel
4945.735303,42375.33932,6027.710437,930260.5521,1759336090,1.46958E+13,175.8993898,0.005772595,0
4178.207974,35020.03828,5407.07178,814449.704,1197166656,1.00369E+13,351.3685239,0.005714286,0
4542.492407,44277.96545,6447.973932,975149.2689,1918961856,1.6045E+13,176.0475602,0.005772595,1
6251.449597,35566.54122,5465.556824,827441.6448,1235106543,1.03526E+13,439.2106549,0.005714286,0
66571.06982,42653.06094,6167.637318,940328.8286,1781243858,1.4889E+13,88.24603563,0.005772595,0
35014.40946,36298.52537,5790.123812,840114.7518,1284057411,1.07831E+13,439.103739,0.005714286,0
7586.539978,43721.15913,6163.963758,962989.6932,1873545306,1.5644E+13,352.5607986,0.005772595,0
4971.556328,37299.04549,5620.937648,868752.3854,1359623854,1.13857E+13,351.4112903,0.005714286,0
224804.3856,44077.99581,6463.707564,963858.2084,1901090199,1.59004E+13,87.82269173,0.005772595,1
4098.308702,35368.08919,5433.333375,824593.0431,1221380622,1.02374E+13,439.157197,0.005714286,0
7183.268412,43292.54113,6160.807514,953887.0079,1836288568,1.53388E+13,351.9257828,0.005772595,0
5072.078322,35893.84937,5660.64519,834391.1527,1256325518,1.0544E+13,263.3660191,0.005714286,0
11157.71771,46562.05687,6522.842485,1023826.955,2125477666,1.77431E+13,175.8993898,0.005772595,0
9372.59193,38138.61397,5692.891105,889137.0015,1422144866,1.19041E+13,614.44587,0.005714286,0
6168.608769,46008.30428,6691.512741,1008635.046,2071987720,1.73236E+13,175.814721,0.005772595,0
3804.986058,38007.61657,5766.887931,884574.0651,1411321921,1.18224E+13,175.4062805,0.005714286,0
4043.240103,43314.17893,6322.92661,948086.1515,1836138696,1.53542E+13,351.2484325,0.005772595,0
220254.6,35096.81408,5563.174538,810367.8406,1200837448,1.00809E+13,87.99181329,0.005714286,0
6408.916607,43686.22779,6505.760585,952889.7859,1866161578,1.56191E+13,351.4601045,0.005772595,0
7522.128561,36913.3119,5665.45859,858715.0337,1330495174,1.11515E+13,352.1383187,0.005714286,0
53286.21045,42145.21588,6110.413213,920891.9202,1738882072,1.45366E+13,87.84385892,0.005772595,0
101312.8166,34689.18184,5612.059197,799796.0009,1171844128,9.84813E+12,175.8339443,0.005714286,0
5317.927669,42926.95991,6203.533818,939336.2763,1804240055,1.50809E+13,351.5871076,0.005772595,0
6504.821481,35701.1622,5622.59399,829516.0764,1242959419,1.04311E+13,351.5395894,0.005714286,0
215219.5617,36727.17733,5571.472236,853380.1398,1317844252,1.10393E+13,88.03457967,0.005714286,0
12453.62715,39459.05874,6207.923974,914226.7574,1518478997,1.27426E+13,175.4490469,0.005714286,0
3912.282273,37477.05482,5572.251257,873103.217,1373479654,1.14947E+13,350.9408602,0.005714286,0
8789.950328,44299.49482,6316.353273,971192.8016,1922548923,1.60607E+13,263.9760879,0.005772595,0
6632.555392,43068.10678,6286.747106,943468.341,1815338632,1.51802E+13,352.3491267,0.005772595,0
14733.63449,38094.25216,5998.714613,881352.3547,1415187470,1.18764E+13,1318.754582,0.005714286,0
27764.4242,46041.78663,6596.121534,1002626.544,2076337297,1.73488E+13,342.400545,0.005772595,0
7216.614755,35262.09689,5545.142578,817975.8884,1212666871,1.01761E+13,175.7484115,0.005714286,0
6395.819769,45552.23347,6807.911945,995231.1052,2028658309,1.69818E+13,176.0687274,0.005772595,0
6528.195285,35887.87839,5565.656667,831986.8692,1256963281,1.05405E+13,174.9786168,0.005714286,0
208541.4615,36197.14346,5414.523998,839764.1152,1280916125,1.07229E+13,87.93835533,0.005714286,0
